Station Name,Time Period,Avg Daily Entries,Month
Woodley Park,PM Peak (3pm-7pm),1.2K,December
Wiehle-Reston East,PM Peak (3pm-7pm),1.1K,December
Wheaton,PM Peak (3pm-7pm),0.6K,December
West Hyattsville,PM Peak (3pm-7pm),0.5K,December
West Falls Church,PM Peak (3pm-7pm),0.2K,December
Waterfront,PM Peak (3pm-7pm),1.2K,December
Virginia Sq-GMU,PM Peak (3pm-7pm),0.7K,December
Vienna,PM Peak (3pm-7pm),0.8K,December
Van Ness-UDC,PM Peak (3pm-7pm),1.2K,December
Van Dorn Street,PM Peak (3pm-7pm),0.3K,December
Union Station,PM Peak (3pm-7pm),9.1K,December
U Street,PM Peak (3pm-7pm),1.6K,December
Tysons,PM Peak (3pm-7pm),1.2K,December
Twinbrook,PM Peak (3pm-7pm),0.9K,December
Tenleytown-AU,PM Peak (3pm-7pm),1.9K,December
Takoma,PM Peak (3pm-7pm),0.7K,December
Suitland,PM Peak (3pm-7pm),0.9K,December
Stadium-Armory,PM Peak (3pm-7pm),0.4K,December
Spring Hill,PM Peak (3pm-7pm),0.3K,December
Southern Ave,PM Peak (3pm-7pm),0.5K,December
Smithsonian,PM Peak (3pm-7pm),5.2K,December
Silver Spring,PM Peak (3pm-7pm),2.5K,December
Shaw-Howard U,PM Peak (3pm-7pm),1.2K,December
Shady Grove,PM Peak (3pm-7pm),1.2K,December
Rosslyn,PM Peak (3pm-7pm),4.1K,December
Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),1.6K,December
Rockville,PM Peak (3pm-7pm),0.8K,December
Rhode Island Ave,PM Peak (3pm-7pm),1.0K,December
Potomac Ave,PM Peak (3pm-7pm),0.5K,December
Pentagon City,PM Peak (3pm-7pm),3.3K,December
Pentagon,PM Peak (3pm-7pm),4.3K,December
North Bethesda,PM Peak (3pm-7pm),0.9K,December
NoMa-Gallaudet U,PM Peak (3pm-7pm),3.1K,December
New Carrollton,PM Peak (3pm-7pm),0.7K,December
Naylor Road,PM Peak (3pm-7pm),0.3K,December
Navy Yard-Ballpark,PM Peak (3pm-7pm),3.1K,December
Mt Vernon Sq,PM Peak (3pm-7pm),1.4K,December
Morgan Boulevard,PM Peak (3pm-7pm),0.2K,December
Minnesota Ave,PM Peak (3pm-7pm),0.4K,December
Metro Center,PM Peak (3pm-7pm),12.4K,December
Medical Center,PM Peak (3pm-7pm),2.7K,December
McPherson Sq,PM Peak (3pm-7pm),6.6K,December
McLean,PM Peak (3pm-7pm),0.4K,December
Landover,PM Peak (3pm-7pm),0.1K,December
L'Enfant Plaza,PM Peak (3pm-7pm),11.1K,December
King St-Old Town,PM Peak (3pm-7pm),2.0K,December
Judiciary Square,PM Peak (3pm-7pm),4.6K,December
Hyattsville Crossing,PM Peak (3pm-7pm),0.9K,December
Huntington,PM Peak (3pm-7pm),0.6K,December
Herndon,PM Peak (3pm-7pm),0.0K,December
Grosvenor-Strathmore,PM Peak (3pm-7pm),0.7K,December
Greensboro,PM Peak (3pm-7pm),0.4K,December
Greenbelt,PM Peak (3pm-7pm),0.7K,December
Glenmont,PM Peak (3pm-7pm),0.5K,December
Georgia Ave-Petworth,PM Peak (3pm-7pm),1.1K,December
Gallery Place,PM Peak (3pm-7pm),10.5K,December
Friendship Heights,PM Peak (3pm-7pm),2.4K,December
Franconia-Springfield,PM Peak (3pm-7pm),0.8K,December
Fort Totten,PM Peak (3pm-7pm),1.5K,December
Forest Glen,PM Peak (3pm-7pm),0.2K,December
Foggy Bottom-GWU,PM Peak (3pm-7pm),8.1K,December
Federal Triangle,PM Peak (3pm-7pm),4.7K,December
Federal Center SW,PM Peak (3pm-7pm),3.2K,December
Farragut West,PM Peak (3pm-7pm),10.1K,December
Farragut North,PM Peak (3pm-7pm),12.9K,December
Eisenhower Ave,PM Peak (3pm-7pm),0.2K,December
Eastern Market,PM Peak (3pm-7pm),1.3K,December
East Falls Church,PM Peak (3pm-7pm),0.5K,December
Dupont Circle,PM Peak (3pm-7pm),6.2K,December
Dunn Loring,PM Peak (3pm-7pm),0.5K,December
Downtown Largo,PM Peak (3pm-7pm),0.4K,December
Deanwood,PM Peak (3pm-7pm),0.2K,December
Crystal City,PM Peak (3pm-7pm),3.6K,December
Court House,PM Peak (3pm-7pm),1.4K,December
Congress Heights,PM Peak (3pm-7pm),0.4K,December
Columbia Heights,PM Peak (3pm-7pm),3.0K,December
College Park-U of Md,PM Peak (3pm-7pm),0.9K,December
Cleveland Park,PM Peak (3pm-7pm),0.6K,December
Clarendon,PM Peak (3pm-7pm),0.8K,December
Cheverly,PM Peak (3pm-7pm),0.1K,December
Capitol South,PM Peak (3pm-7pm),2.8K,December
Capitol Heights,PM Peak (3pm-7pm),0.2K,December
Brookland-CUA,PM Peak (3pm-7pm),1.4K,December
Branch Ave,PM Peak (3pm-7pm),0.4K,December
Braddock Road,PM Peak (3pm-7pm),0.7K,December
Bethesda,PM Peak (3pm-7pm),3.1K,December
Benning Road,PM Peak (3pm-7pm),0.4K,December
Ballston-MU,PM Peak (3pm-7pm),2.4K,December
Arlington Cemetery,PM Peak (3pm-7pm),0.3K,December
Archives,PM Peak (3pm-7pm),4.9K,December
Anacostia,PM Peak (3pm-7pm),1.3K,December
Addison Road,PM Peak (3pm-7pm),0.3K,December
Woodley Park,Midday (9:30am-3pm),1.2K,December
Wiehle-Reston East,Midday (9:30am-3pm),1.0K,December
