Date,Station Name ,Time Period,Avg Daily Entries
December 04,Metro Center,PM Peak (3pm-7pm),10.1K
June 5,Metro Center,PM Peak (3pm-7pm),9.7K
September 4,Metro Center,PM Peak (3pm-7pm),9.3K
March 6,Metro Center,PM Peak (3pm-7pm),9.2K
December 04,Farragut North,PM Peak (3pm-7pm),8.9K
December 04,Foggy Bottom-GWU,PM Peak (3pm-7pm),8.3K
September 4,Foggy Bottom-GWU,PM Peak (3pm-7pm),8.2K
June 5,Farragut North,PM Peak (3pm-7pm),8.2K
March 6,Farragut North,PM Peak (3pm-7pm),8.2K
September 4,Farragut North,PM Peak (3pm-7pm),8.1K
June 5,L'Enfant Plaza,PM Peak (3pm-7pm),7.9K
June 5,Farragut West,PM Peak (3pm-7pm),7.9K
March 6,Farragut West,PM Peak (3pm-7pm),7.9K
December 04,Farragut West,PM Peak (3pm-7pm),7.8K
March 6,Foggy Bottom-GWU,PM Peak (3pm-7pm),7.7K
September 4,Farragut West,PM Peak (3pm-7pm),7.5K
March 6,L'Enfant Plaza,PM Peak (3pm-7pm),7.2K
,,,
December 04,Gallery Place,PM Peak (3pm-7pm),7.1K
June 5,Foggy Bottom-GWU,PM Peak (3pm-7pm),7.1K
December 04,L'Enfant Plaza,PM Peak (3pm-7pm),7.0K
December 04,Union Station,PM Peak (3pm-7pm),6.7K
September 4,L'Enfant Plaza,PM Peak (3pm-7pm),6.6K
June 5,Fort Totten,AM Peak (Open-9:30am),6.6K
June 5,Gallery Place,PM Peak (3pm-7pm),6.5K
June 5,Union Station,PM Peak (3pm-7pm),6.4K
March 6,Union Station,PM Peak (3pm-7pm),6.3K
March 6,Gallery Place,PM Peak (3pm-7pm),6.3K
September 4,Gallery Place,PM Peak (3pm-7pm),6.1K
March 6,Gallery Place,Evening (7pm-12am),6.1K
December 04,Union Station,AM Peak (Open-9:30am),5.9K
September 4,Union Station,PM Peak (3pm-7pm),5.7K
June 5,Union Station,AM Peak (Open-9:30am),5.6K
December 04,Dupont Circle,PM Peak (3pm-7pm),5.3K
September 4,Union Station,AM Peak (Open-9:30am),5.3K
